#,Player Name,Pos.,GP,G,A,Pts,PIM,"""+/-""",GP,G,A,Pts,PIM,Birthplace,Age
585,Jalen Lobo,L,27,2,5,7,18,-4,--,--,--,--,--,ONT: Milton,17
586,Anthony Timmerman,D,52,2,5,7,10,-27,--,--,--,--,--,MI: Rochester,15
587,Brady Murnane,D,55,1,6,7,47,-14,--,--,--,--,--,NY: Clifton Park,17
588,Zackary Sandhu 3,D,11,0,5,5,25,-2,--,--,--,--,--,ONT: Toronto,19
589,Lucas Teixeira,F,28,2,2,4,19,-16,--,--,--,--,--,ONT: Toronto,18
590,Ben Danford 3,D,8,1,3,4,5,-10,--,--,--,--,--,ONT: Belleville,19
591,Artem Frolov 4,D,25,0,4,4,13,-4,--,--,--,--,--,Russia: Volgograd,18
592,Matthew Wang 5,L,22,2,1,3,13,-13,--,--,--,--,--,ONT: London,20
593,Charlie Hilton 6,L,41,0,3,3,48,-14,--,--,--,--,--,ONT: Oshawa,18
594,Tyler Hinde,F,14,1,1,2,4,-11,--,--,--,--,--,ONT: Vaughan,16
595,Luca Diplacido,D,9,0,1,1,4,-3,--,--,--,--,--,ONT: Richmond Hill,16
596,Isaac Gravelle,G,10,0,1,1,0,0,--,--,--,--,--,ONT: Fenwick,18
597,Matthew Humphries 4,G,24,0,1,1,4,0,--,--,--,--,--,ONT: Newmarket,17
598,Reid Thomas,G,1,0,0,0,0,0,--,--,--,--,--,ONT: Oshawa,18
599,Brennan Huyck,R,6,0,0,0,0,-2,--,--,--,--,--,MI: Gaylord,17
600,Ethan Toms,C,12,0,0,0,11,-7,--,--,--,--,--,ONT: Norwood,19
601,Jaden Cholette,G,43,0,0,0,2,0,--,--,--,--,--,ONT: Gloucester,19
602,Tommy Bleyl,D,63,13,68,81,33,58,21,6,22,28,6,NY: Schenectady,17
603,Caleb Desnoyers,C,45,22,56,78,36,36,21,7,18,25,16,PQ: Saint-Hyacinthe,18
604,Gabe Smith,C,60,34,43,77,49,44,21,19,14,33,12,NB: St. Andrews,19
605,Niko Tournas,R,64,43,31,74,44,22,21,6,12,18,8,CT: Redding,19
606,Teddy Mutryn,C,54,31,37,68,62,25,21,10,20,30,14,MA: Norwell,18
607,Alex Mercier,R,63,27,36,63,40,35,21,8,3,11,15,PQ: Sainte-Foy,19
608,Kuzma Voronin,L,58,25,35,60,71,35,21,7,12,19,12,Russia: Yaroslav,19
609,Simon Binkley,L,60,18,25,43,38,18,21,2,1,3,2,AK: Fairbanks,19
610,Preston Lounsbury,C,64,20,22,42,12,14,21,4,11,15,4,NB: Moncton,20
611,Rian Chudzinski,R,54,21,17,38,71,30,21,6,11,17,26,MA: Needham,17
612,Adam Fortier-Gendron,D,64,6,32,38,18,64,21,1,4,5,0,PQ: Repentigny,19
613,Gavin Cornforth,R,29,12,18,30,6,22,21,9,4,13,4,MA: Boston,18
614,Evan Depatie 1,D,32,5,18,23,16,17,21,4,4,8,12,PQ: Granby,19
615,Matthew Virgilio,D,62,4,15,19,50,19,16,0,5,5,4,ONT: Vaughan,19
616,Max Vilen 2,D,27,1,12,13,13,11,21,3,9,12,0,Sweden: Hammarlov,19
617,Eerik Wallenius,D,56,2,10,12,73,22,21,1,9,10,8,Finland: Salo,19
618,Grayden Robertson-Palmer,C,55,6,5,11,14,2,6,0,0,0,0,NB: St. Andrews,18
619,Aiden Diamond,D,33,0,10,10,22,4,6,0,0,0,0,PEI: Stratford,19
620,Carl-Otto Magnusson 3,D,31,1,7,8,21,3,--,--,--,--,--,Sweden: Onsala,19
621,Riley Sampson,C,58,2,4,6,43,-1,20,0,3,3,2,ALTA: High River,19
622,Liam Bursaw,C,16,4,1,5,12,3,15,1,1,2,4,SASK: Warman,18
623,Jackson Batchilder,D,27,0,4,4,6,3,--,--,--,--,--,PEI: Stratford,17
624,Marc MacPhee,C,5,0,2,2,0,1,--,--,--,--,--,NB: Moncton,16
625,Spencer Thornborough,L,41,0,2,2,8,0,--,--,--,--,--,MA: Boxford,17
626,Noah Survilas,R,2,0,1,1,0,1,--,--,--,--,--,MA: Winthrop,16
627,Rudy Guimond,G,50,0,1,1,4,0,21,0,1,1,0,PQ: Pointe-Claire,20
628,Jacob Wingfield,F,1,0,0,0,0,0,--,--,--,--,--,BC: Halfmoon Bay,19
629,Dylan MacKinnon 4,D,2,0,0,0,2,1,--,--,--,--,--,NB: Riverview,20
630,Danny Buckley,L,6,0,0,0,0,-1,--,--,--,--,--,RI: Warwick,19
631,Dominik Necak 5,D,6,0,0,0,2,-1,--,--,--,--,--,PQ: Mirabel,17
632,Victor Morrissette-Richer,C,14,0,0,0,2,-2,--,--,--,--,--,PQ: Outremont,17
633,Jacoby Weiner,G,17,0,0,0,0,0,1,0,0,0,0,CT: Riverside City,17
634,Maxim Masse,R,63,51,51,102,40,62,20,6,18,24,6,PQ: Rimouski,19
635,Thomas Desruisseaux,C,58,24,52,76,36,51,20,3,10,13,10,PQ: Levis,19
636,Alex Huang,D,62,11,59,70,14,58,20,2,17,19,4,PQ: Rosemere,18
637,Emmanuel Vermette,L,64,27,42,69,24,53,20,10,7,17,6,PQ: Quebec,20
638,Emile Guite,L,59,32,33,65,20,39,20,8,6,14,10,PQ: Chambly,18
639,Nathan Lecompte,C,61,27,36,63,20,21,20,7,13,20,4,PQ: Chateauguay,18
640,Maxim Schafer,R,53,21,28,49,28,17,8,1,2,3,2,Germany: Nuremberg,18
641,Peteris Bulans,D,62,12,28,40,12,42,20,7,8,15,2,Latvia: Dzelzava,20
642,Emile Ricard,L,51,11,26,37,30,22,19,2,4,6,9,PQ: Drummondville,17
643,Christophe Berthelot,R,64,15,19,34,26,13,20,3,6,9,4,PQ: Saint-Eustache,19
644,Jordan Tourigny 1,D,29,8,24,32,24,33,20,8,8,16,10,PQ: Victoriaville,20
645,Liam Lefebvre 2,C,25,17,13,30,40,9,20,5,7,12,28,PQ: Montreal,18
646,Mavrick Lachance 3,C,32,13,17,30,18,28,20,10,13,23,12,PQ: Lac-Megantic,19
647,Alonso Gosselin,D,64,7,21,28,36,44,20,2,5,7,12,PQ: Verdun,18
648,Anton Linde,L,47,10,17,27,19,11,20,3,7,10,16,Denmark: Rodovre,19
649,Tomas Lavoie 4,D,32,5,21,26,18,31,20,3,10,13,10,PQ: Repentigny,19
650,Alexandre Desmarais,D,51,7,10,17,27,17,5,0,0,0,4,PQ: Saint-Thomas-de-Joli,19
651,Alexis Toussaint,C,54,5,12,17,19,14,20,2,2,4,4,NS: Windsor,18
652,Gryphon Bucci,R,49,6,9,15,31,0,8,1,1,2,4,ONT: Sudbury,19
653,Alexis Bernier,D,21,4,8,12,22,17,20,4,3,7,16,PQ: Saint-Hyacinthe,19
654,"Xavier DaigleTo Val d'Or""> 5",D,30,2,10,12,12,17,--,--,--,--,--,PQ: Levis,20
655,Koby Francis,R,28,2,4,6,10,0,--,--,--,--,--,ONT: Ottawa,18
656,Jonathan Prud'homme 6,D,31,0,6,6,49,7,--,--,--,--,--,PQ: Valleyfield,18
657,Korney Korneyev 7,L,2,1,1,2,0,1,--,--,--,--,--,Kazakhstan: Almaty,17
658,Jacob Gomez,L,12,1,1,2,8,4,--,--,--,--,--,PQ: Jonquiere,17
659,Leo-Gabriel Gosselin 8,C,1,0,2,2,0,2,--,--,--,--,--,PQ: Quebec,16
660,Raphael Precourt,G,40,0,2,2,0,0,--,--,--,--,--,PQ: Pont-Rouge,19
661,Philippe Cote,L,1,1,0,1,0,1,--,--,--,--,--,PQ: Chicoutiimi,17
662,Mathias Hernandez 8,G,8,0,1,1,0,0,--,--,--,--,--,PQ: Lavaltrie,18
663,Connor Haynes,F,2,0,0,0,0,-1,--,--,--,--,--,ONT: Sault Ste. Marie,19
664,Owen Mchale,L,2,0,0,0,2,0,--,--,--,--,--,,17
665,Tomas Gagne,G,6,0,0,0,0,0,--,--,--,--,--,PQ: Matane,19
666,Gabriel Anctil,D,6,0,0,0,2,2,--,--,--,--,--,PQ: Saint-Anaclet-de-Les,17
667,Nicklas Numminen,D,7,0,0,0,2,1,--,--,--,--,--,NY: Buffalo,19
668,Derek Savard,C,7,0,0,0,2,5,--,--,--,--,--,PQ: Alma,17
669,Lucas Beckman 9,G,15,0,0,0,0,0,20,0,4,4,0,PQ: Montreal,18
670,Colby Train,D,16,0,0,0,9,-3,--,--,--,--,--,NB: Saint John,19
671,Thomas Verdon,C,64,36,59,95,54,22,17,8,14,22,14,OH: Cleveland,20
672,Samuel Beauchemin,C,64,16,50,66,2,11,17,9,5,14,6,PQ: Saint-Robert,19
673,Lars Steiner,R,44,30,25,55,44,22,17,5,4,9,14,Switzerland: Davos,17
674,Eliot Ogonowski,L,64,18,31,49,24,4,17,7,8,15,2,PQ: Val-d'Or,19
675,Antoine St. Laurent,D,57,10,33,43,17,9,17,2,12,14,4,PQ: Sherbrooke,17
676,Nathan Langlois,L,44,16,22,38,14,8,17,2,8,10,4,PQ: Levis,19
677,Samuel Rheault,L,64,13,18,31,36,-5,17,3,4,7,8,PQ: St-Albert,16
678,Benjamin Brunelle,R,61,18,12,30,40,-10,17,11,8,19,10,PQ: Trois-Rivieres,20
679,Axel Dufresne,D,46,7,21,28,19,10,17,2,6,8,4,PQ: Montreal,20
680,William Vezina,C,63,11,15,26,76,0,17,1,4,5,8,PQ: Quebec,18
681,Alexis Lemire,D,64,3,19,22,49,23,17,0,5,5,0,PQ: Nicolet,19
682,Jayden Pominville,C,35,10,10,20,2,1,16,2,5,7,0,PQ: Repentigny,15
683,Guus Van der Kaaij,D,58,5,15,20,28,13,9,0,1,1,2,Switzerland: St-Moritz,18
684,Charles Laforest,C,54,8,7,15,14,-1,17,4,3,7,2,PQ: Boischatel,18
685,Niko El Khouri,L,55,5,9,14,8,-9,15,0,1,1,4,PQ: Boucherville,17
686,Charlie Benigno,L,39,4,4,8,10,-7,3,1,0,1,2,NS: Halifax,17
687,Jeremy Jarret,C,48,3,4,7,14,-5,17,1,0,1,2,PQ: Amos,17
688,Vladislav Murzov,C,42,3,3,6,14,-10,--,--,--,--,--,Belarus: Novopolotsk,18
689,Brayden Kaldenbach,D,39,0,6,6,47,12,17,1,4,5,20,MN: Apple Valley,19
690,Tristan Langlois,D,38,2,3,5,19,-1,--,--,--,--,--,PQ: Vaudreuil-Dorion,18
691,Jacob Hamel,D,43,1,2,3,6,-8,1,0,0,0,0,PQ: St-Hyacinthe,16
692,Samuel Meloche,G,50,0,2,2,2,0,17,0,0,0,0,PQ: Les Cedres,18
693,Edouard Theriault,D,4,0,1,1,2,-1,2,0,0,0,0,PQ: Repentigny,16
694,Jace Evans,C,20,0,1,1,4,-5,--,--,--,--,--,NS: Dartmouth,16
695,Elliott Duguay,D,27,0,1,1,16,-8,10,0,2,2,2,PQ: Trois-Rivieres,18
696,Tyler Sullivan,D,1,0,0,0,0,0,--,--,--,--,--,NS: Shortt's Lake,16
697,Nathan Marineau,D,3,0,0,0,0,-2,--,--,--,--,--,PQ: Laval,16
698,Charles Boulet,L,4,0,0,0,2,1,--,--,--,--,--,PQ: Rimouski,16
699,Zachary Petit,D,7,0,0,0,2,-2,12,1,2,3,6,PQ: St-Michel,15
700,Alexandre Raymond,G,18,0,0,0,0,0,--,--,--,--,--,PQ: Sherbrooke,17
701,Jesse Allecia,L,64,23,42,65,22,7,5,0,2,2,0,NY: New York,19
702,Renaud Poulin,C,64,26,29,55,59,14,5,2,6,8,6,PQ: Nicolet,18
703,Louis-Felix Bourque,R,54,24,25,49,16,16,5,0,1,1,2,PQ: Quebec,17
704,Maxime Lafond,L,63,13,36,49,32,25,5,0,1,1,0,PQ: Longueuil,19
705,Dylan Dumont,R,62,28,16,44,8,7,5,4,1,5,2,PQ: St-Bruno-de-Montarvi,17
706,Yoan Tasse,C,64,10,28,38,48,6,5,0,0,0,5,PQ: Mirabel,17
707,Maxime-Olivier Drolet,C,64,17,19,36,20,7,5,4,0,4,2,PQ: Quebec,19
708,Owen Keefe,D,63,8,26,34,56,7,5,0,2,2,4,MA: Saugus,19
709,William Dumont,L,64,17,16,33,25,15,4,1,1,2,7,PQ: Saint-Bruno-de-Monta,19
710,Hugo Dufour,L,53,13,14,27,30,25,5,0,0,0,4,PQ: Quebec,18
711,Antoine Boudreau,L,50,9,18,27,14,8,5,0,0,0,4,PQ: Drummondville,19
712,Carter Fogarty,R,33,9,15,24,24,15,4,0,1,1,0,ONT: Sarnia,17
713,Marc-Olivier Beaudry,D,26,7,16,23,6,22,5,0,2,2,2,PQ: St-Jean-sur-Richelie,20
714,Lou Levesque 1,L,25,7,15,22,6,5,5,0,1,1,2,PQ: Saint-Jerome,19
715,David Bosson,R,48,10,9,19,15,5,2,0,0,0,2,Switzerland: Marly,19
716,Matteo Rotondi,D,64,2,17,19,22,31,5,1,0,1,0,NFLD: St. John's,20
717,Filip Kovalcik,D,57,1,17,18,17,11,5,0,2,2,0,Slovakia: Trencin,16
718,Xavier Cormier,D,42,6,11,17,10,16,--,--,--,--,--,NB: Dieppe,16
719,Owen Ronson,D,62,2,12,14,4,9,5,0,1,1,0,ONT: Toronto,18
720,Trent Gates,R,33,6,5,11,4,4,--,--,--,--,--,ONT: Hamilton,17
721,Cooper Campbell,D,40,0,8,8,36,17,5,0,0,0,4,MA: Cohasset,16
722,Thomas Duhamel,R,19,1,6,7,0,7,--,--,--,--,--,AZ: Phoenix,17
723,Yan Gaudreau 2,D,36,1,6,7,23,12,--,--,--,--,--,ONT: Embrun,20
724,Jan Larys,G,38,0,2,2,2,0,5,0,0,0,0,Slovakia: Viktovice,17
725,Jacob Boucher,D,1,0,1,1,0,4,--,--,--,--,--,PQ: St-Joseph-de-Beauce,16
726,Shayle Simons,D,1,0,0,0,2,1,--,--,--,--,--,ONT: Kitchener,18
727,Mathys Fortin,G,10,0,0,0,0,0,1,0,0,0,0,PQ: Lorraine,16
728,Dayton Kitchener 3,G,18,0,0,0,0,0,--,--,--,--,--,ONT: Toronto,17
729,Felix Lacerte,R,62,38,48,86,55,18,10,2,7,9,4,PQ: Trois-Rivieres,19
730,Chad Lygitsakos,L,63,21,38,59,40,31,9,3,5,8,11,PQ: Trois-Rivieres,17
731,Elias Schneider,L,52,23,30,53,18,17,11,3,2,5,2,Germany: Rosenheim,18
732,Jiri Klima,L,50,28,24,52,14,19,11,4,6,10,6,Czech Rep: Suchy Dul,19
733,Vince Elie,C,51,24,28,52,30,10,11,1,3,4,6,PQ: Montreal,20
734,Cole Chandler,C,62,20,32,52,50,15,6,0,2,2,7,NS: Bedford,18
735,Mathieu Plante,D,59,9,26,35,28,23,11,5,5,10,12,PQ: Quebec,18
736,Felix Plamondon,D,64,7,25,32,18,46,11,1,6,7,8,PQ: Saint-Raymond,19
737,Kody Dupuis,C,42,14,16,30,23,17,10,4,0,4,8,PQ: Blainville,19
738,Raoul Boilard 1,C,33,7,16,23,30,1,--,--,--,--,--,PQ: Sherbrooke,19
739,Jordan Tourigny 2,D,28,5,18,23,32,4,--,--,--,--,--,PQ: Victoriaville,20
740,Noah McKinnon,D,42,4,14,18,29,10,1,0,0,0,0,PQ: Quebec,17
741,Olivier Charron,C,28,6,9,15,8,-3,11,3,3,6,16,PQ: Vaudreuil-Dorion,15
742,Julien Lanthier,D,43,3,12,15,39,5,11,1,3,4,0,PQ: Saint-Eustache,19
743,Jordan Forget 3,R,32,3,11,14,21,2,--,--,--,--,--,Switzerland: Penthaz,19
744,Frederic Bergeron,C,42,7,6,13,24,-1,6,1,2,3,20,MN: Woodbury,16
745,Jonathan Prud'homme 4,D,34,1,10,11,41,3,11,0,1,1,14,PQ: Valleyfield,18
746,Louis-Emile Dumais,R,9,5,5,10,0,9,--,--,--,--,--,PQ: Quebec,16
747,Jacob Lachance,L,38,4,6,10,17,-3,4,0,0,0,8,PQ: Shawinigan,19
748,Brogan McNeil 5,R,28,3,5,8,30,0,--,--,--,--,--,BC: Delta,18
749,Miroslav Satan,C,29,2,4,6,14,-5,4,0,0,0,0,NY: East Amherst,19
750,Drew Hockley,D,26,1,5,6,14,1,10,1,0,1,11,NS: Kentville,20
751,Louis-Felix Gagnon,D,30,1,5,6,33,9,9,0,1,1,2,PQ: Baie-St-Paul,17
752,Nathan Ouellet,R,9,3,2,5,0,4,1,0,0,0,0,PQ: La Malbaie,16
753,Dylan Laframboise,R,36,1,4,5,19,-6,11,3,1,4,10,PQ: Mont-Tremblant,17
754,Antoine L'Italien,R,10,2,2,4,2,3,2,0,0,0,0,PQ: Ste-Agathe-des-Monts,17
755,Samuel Boyer 6,L,16,2,2,4,4,3,5,0,0,0,6,PQ: Chateauguay,17
756,Justin Bouchard,D,10,1,3,4,2,-4,2,0,0,0,0,PQ: Pont Rouge,17
757,Mickael Chapdelaine,D,29,1,3,4,14,8,--,--,--,--,--,PQ: St-Paulin,18
758,Maxime Poirier,C,10,2,1,3,8,1,--,--,--,--,--,PQ: Quebec,17
759,Gleb Semenov 7,C,26,0,3,3,4,-10,11,0,1,1,6,Russia: Moscow,18
760,Malik Desrochers,R,9,2,0,2,4,0,9,0,0,0,0,PQ: St-Hyacinthe,16
761,Nathan Wright 8,D,13,1,1,2,4,0,--,--,--,--,--,PQ: Repentigny,17
762,Yoan Carrier,D,4,1,0,1,0,-1,--,--,--,--,--,PQ: Granby,16
763,Ben Radley,D,2,0,1,1,0,0,--,--,--,--,--,ONT: Iroquois,18
764,Luca Scartozzi 9,C,5,0,1,1,0,-1,--,--,--,--,--,PQ: Greenfield Park,17
765,Mathys Fernandez,G,42,0,1,1,0,0,10,0,0,0,0,PQ: Blainville,20
766,Ian Lovett,C,1,0,0,0,2,0,--,--,--,--,--,NS: Halifax,16
767,Ludovic Frechette,D,1,0,0,0,0,0,--,--,--,--,--,PQ: Sherbrooke,16
768,Olivier St. Onge,G,5,0,0,0,0,0,--,--,--,--,--,NB: Edmundston,17
769,Benjamin Corso,D,6,0,0,0,2,-4,--,--,--,--,--,PQ: Levis,16
770,Christian Furuvik,L,12,0,0,0,5,-3,--,--,--,--,--,Sweden: Stockholm,17
771,Philippe Boucher,G,23,0,0,0,2,0,2,0,0,0,0,PQ: Levis,18
772,Nathan Leek,L,63,47,37,84,84,3,5,2,2,4,16,ONT: Alliston,19
773,Ross Campbell,R,51,28,39,67,67,10,7,4,5,9,4,PEI: Souris,19
774,Marcus Kearsey,D,62,15,40,55,20,-7,7,1,3,4,2,NFLD: Deer Lake,19
775,Matthew Butler,C,60,13,38,51,6,-12,7,0,0,0,2,NFLD: St. John's,19
776,Ivan Ryabkin,C,20,13,29,42,44,13,6,4,5,9,20,Russia: Balakovo,18
777,William Shields,R,63,23,15,38,36,-12,7,1,0,1,8,NS: Falmouth,19
778,Anthony Flanagan,C,62,14,16,30,56,-11,7,0,1,1,6,PQ: Blainville,18
779,Owen Conrad,D,61,5,23,28,17,2,7,1,5,6,2,NS: Stellarton,18
780,Brady Peddle,D,62,3,16,19,48,3,7,0,1,1,0,NS: Antigonish,18
781,Jude Herron,R,55,5,12,17,36,0,2,0,0,0,0,MA: Duxbury,17
782,C.J. Watroba,L,52,9,7,16,26,0,4,0,0,0,0,MA: West Springfield,18
783,Alexis Beaulieu,F,30,8,7,15,4,-6,4,0,0,0,4,ONT: Hawkesbury,18
784,Tyler Peddle,L,48,8,7,15,38,-9,7,3,0,3,4,NS: Antigonish,20
785,Antoine Provencher,C,51,7,8,15,6,1,7,1,2,3,0,PQ: Candiac,16
786,Nolan Duskocy,R,63,3,9,12,24,-5,7,0,1,1,0,CT: Elington,17
787,Dylan MacKinnon 1,D,45,1,11,12,23,12,7,0,0,0,4,NB: Riverview,20
788,Nikita Voyaga,D,59,2,8,10,45,-7,7,0,0,0,6,Russia: Moscow,17
789,Jabez Seymour 2,R,36,5,2,7,42,-12,--,--,--,--,--,NFLD: St. John's,18
790,Alexandro Lemieux-Goupil,D,62,0,6,6,35,3,7,0,0,0,0,PQ: St-Georges,17
791,Ryan Staples,C,24,2,3,5,2,-4,7,1,0,1,0,RI: Middletown,19
792,Rowan Walsh,C,37,2,1,3,4,-9,1,0,0,0,0,PEI: Stratford,17
793,Spencer Thompson,D,9,0,3,3,8,1,--,--,--,--,--,ONT: Ottawa,19
794,Anthony Gaudet,C,2,0,2,2,0,1,5,0,0,0,0,NB: St-Igace,19
795,Max Jardine,D,15,0,2,2,13,-4,--,--,--,--,--,NB: Miramichi,20
796,Donald Hickey,G,51,0,2,2,0,0,7,0,0,0,0,NFLD: Conception Bay South,18
797,Juraj Durco 3,L,24,1,0,1,4,0,--,--,--,--,--,Slovakia: Trencin,17
798,Kyle Powers 3,C,2,0,1,1,2,0,--,--,--,--,--,ONT: Ottawa,20
799,Vincent Gladu 4,G,6,0,1,1,0,0,--,--,--,--,--,PQ: Mascouche,18
800,Daniel Chen,D,10,0,1,1,6,-2,--,--,--,--,--,ONT: Thornhill,19
801,Jack Carter,G,10,0,1,1,2,0,--,--,--,--,--,NFLD: St-Phillips,18
802,Hudson Bradley,G,1,0,0,0,0,0,--,--,--,--,--,PEI: Charlottetown,17
803,Aiden MacIsaac,D,23,0,0,0,6,-4,1,0,0,0,0,MA: Andover,18
804,Nathan Quinn,C,58,34,39,73,13,19,11,2,4,6,10,PQ: Napierville,18
805,Maddox Dagenais,C,62,30,32,62,31,0,11,3,3,6,4,PQ: Montreal,17
806,Cal Uens,D,63,13,36,49,54,11,11,3,5,8,12,ONT: Napanee,20
807,Nikita Ovcharov,L,64,17,27,44,47,7,11,3,3,6,4,Russia: Lipetsk,17
808,Xavier Lebel,R,63,15,17,32,25,9,11,2,2,4,6,PQ: Quebec,18
809,Andreas Straka,L,47,10,22,32,45,4,11,0,0,0,12,Slovakia: Spisska Nova Ves,18
810,Mavrick Rousseau-Hamel,L,56,9,18,27,113,10,2,0,0,0,6,PQ: Quebec,19
811,Antoine Dorion,C,41,9,14,23,25,3,11,0,1,1,8,ONT: Orleans,19
812,Mathias Loiselle,C,37,8,15,23,16,10,11,3,3,6,4,PQ: La Malbaie,19
813,Alex Desruisseaux,C,61,7,15,22,30,-3,11,1,4,5,4,PQ: Levis,16
814,Ryan Howard,L,62,9,11,20,91,7,8,0,2,2,12,PQ: Pointe-Claire,17
815,Charles-Antoine Dube,C,63,8,11,19,10,2,11,1,3,4,6,PQ: Quebec,17
816,Etienne Desjardins,D,63,3,16,19,23,19,11,0,0,0,0,PQ: Mirabel,18
817,Egan Beveridge 1,R,27,11,7,18,10,5,10,2,1,3,4,NH: East Kingston,18
818,Alexandre Taillefer,D,28,2,15,17,15,6,--,--,--,--,--,PQ: Richelieu,17
819,Freddy Meyer,D,58,2,15,17,25,-5,11,1,1,2,6,MA: Winchester,17
820,Charlie Morrison,D,41,4,9,13,58,8,10,2,2,4,14,NB: Miramichi,17
821,Thomas Charbonneau,D,48,2,9,11,12,11,11,0,1,1,4,PQ: Laval,16
822,Logan Brennan,D,48,3,5,8,60,7,11,0,1,1,12,MA: Hingham,18
823,Nishaan Parmar,R,16,2,5,7,8,-3,5,0,0,0,0,BC: Surrey,19
824,Eliott Simard,R,12,4,1,5,2,-4,--,--,--,--,--,PQ: Levis,20
825,Josh Brady,D,23,2,3,5,14,-5,1,0,1,1,0,ONT: Peterborough,19
826,Ethan Toms,C,15,1,3,4,2,-1,--,--,--,--,--,ONT: Norwood,19
827,Vladimir Karabaev,R,16,1,3,4,6,2,1,0,0,0,2,Belarus: Grodno,17
828,Louis-Thomas Lapointe,L,5,1,1,2,2,-1,3,0,1,1,2,PQ: St-Augustin-de-Desma,17
829,Nathan Birch,D,11,1,0,1,6,0,--,--,--,--,--,PQ: Kirkland,17
830,Felix Pronovost,C,4,0,1,1,4,0,--,--,--,--,--,PQ: Laval,17
831,Bastien Michaud,D,5,0,1,1,0,0,--,--,--,--,--,PQ: Trois-Rivieres,16
832,Samuel Huot,R,7,0,1,1,0,-2,--,--,--,--,--,PQ: Quebec,16
833,Samuel Fontaine,L,15,0,1,1,4,0,--,--,--,--,--,PQ: Gatineau,18
834,Patrick Deniger,G,30,0,1,1,0,0,10,0,0,0,0,PQ: Montreal,16
835,Emrik Drolet,D,1,0,0,0,0,-1,--,--,--,--,--,PQ: Quebec,17
836,Nathan St. Pierre 2,G,1,0,0,0,0,0,--,--,--,--,--,PQ: Montreal,19
837,Timothy Dubuc,G,1,0,0,0,0,0,--,--,--,--,--,PQ: Nicolet,15
838,Colin Boulianne,C,1,0,0,0,0,0,--,--,--,--,--,PQ: Rouyn-Noranda,17
839,Felix Vachon,L,1,0,0,0,0,0,--,--,--,--,--,PQ: Quebec,15
840,Jayden Rousseau,C,3,0,0,0,2,-3,1,0,0,0,0,PQ: Montreal,17
841,Nathan Wright 3,D,3,0,0,0,4,-2,--,--,--,--,--,PQ: Repentigny,17
842,Jamal Napon,L,4,0,0,0,4,0,--,--,--,--,--,PQ: Montreal,18
843,Alex Bernier,L,4,0,0,0,4,-1,3,0,0,0,0,PQ: Ste-Foy,18
844,Andrew Waugh,C,17,0,0,0,2,-6,--,--,--,--,--,MA: Norwell,19
845,Louis-Antoine Denault 4,G,17,0,0,0,4,0,--,--,--,--,--,PQ: Quebec,18
846,Benjamin Lelievre,G,21,0,0,0,0,0,1,0,0,0,0,PQ: St-Philippe-de-la-Pr,18
847,Louis-Alex Tremblay,D,64,14,45,59,38,-7,7,1,3,4,8,PQ: La Malbaie,18
848,Thomas Rousseau,C,60,22,30,52,58,5,7,1,5,6,12,PQ: St-Eustache,17
849,Ilya Kolmakov,L,62,13,35,48,24,-6,7,1,6,7,4,Russia: Perm,16
850,Jayden Plouffe,L,60,17,25,42,33,-2,7,3,2,5,8,PQ: Terrebonne,17
851,Florent Houle,R,52,19,22,41,93,-6,7,5,1,6,24,PQ: Maria,18
852,Olivier Dubois,L,46,17,16,33,39,-2,4,1,0,1,4,PQ: Levis,20
853,Chad Bellemare,R,43,15,12,27,6,10,7,3,2,5,2,PQ: Blainville,19
854,Mavrick Lachance 1,C,29,10,17,27,21,-6,--,--,--,--,--,PQ: Lac-Megantic,19
855,Robin Benoit 2,C,35,12,12,24,4,-23,--,--,--,--,--,PQ: St-Felicien,18
856,Brandon Delarosbil,D,60,8,14,22,20,2,7,0,0,0,0,PQ: St-Lambert,17
857,Loic Poirier,L,61,9,12,21,26,4,7,2,1,3,0,PQ: Trois-Rivieres,17
858,Jean-Felix Lapointe,D,62,5,13,18,39,-10,7,1,1,2,4,PQ: St-Augustin-de-Desma,20
859,Sydney Gagnon,D,64,5,13,18,61,-1,7,0,5,5,4,PQ: Jonquiere,18
860,Brogan McNeil 3,R,30,8,5,13,46,-10,7,2,3,5,4,BC: Delta,18
861,Eloi Bourdeau,D,64,3,10,13,81,-3,7,0,1,1,6,PQ: Sherbrooke,20
862,Martins Klaucans,L,50,4,7,11,19,-2,2,0,0,0,0,Latvia: Riga,17
863,Samuel Rochon,L,29,7,3,10,16,3,--,--,--,--,--,PQ: St-Augustin-de-Desma,17
864,Eloi Benard,C,32,2,8,10,18,-4,7,1,0,1,4,PQ: Trois-Rivieres,16
865,Olivier Lampron,R,22,3,6,9,43,1,7,1,3,4,11,PQ: St-Jerome,18
866,Etienne Giroux,C,31,3,6,9,9,6,7,1,4,5,4,PQ: Mercier,19
867,Cameron Haye,C,52,3,6,9,23,-6,7,0,0,0,4,NFLD: St.John's,16
868,Felix Ouellet,R,22,3,2,5,10,-6,--,--,--,--,--,PQ: Trois-Rivieres,19
869,Peter Fagan,D,24,2,3,5,39,5,6,0,2,2,11,ONT: Brampton,18
870,Zakary Gagnon,D,44,0,5,5,6,-4,1,0,0,0,0,PQ: Granby,18
871,Olivier Boutin,L,23,0,3,3,15,-2,--,--,--,--,--,PQ: Magog,17
872,Reinis Auzins,D,23,0,2,2,4,1,--,--,--,--,--,Latvia: Riga,18
