#,Player Name,Pos.,GP,G,A,Pts,PIM,"""+/-""",GP,G,A,Pts,PIM,Birthplace,Age
176,Urban Podrekar,D,67,11,39,50,28,16,8,0,4,4,4,Slovenia: Kranj,20
177,Kevin He 1,L,32,25,21,46,16,18,6,3,6,9,7,China: Beijing,19
178,Darian Anderson,R,60,20,25,45,20,17,8,6,7,13,14,MI: Brighton,18
179,Christopher Thibodeau,C,52,16,22,38,25,6,8,4,5,9,0,SC: Charleston,19
180,Darels Uljanskis,D,42,8,18,26,16,25,8,0,5,5,4,Latvia: Riga,19
181,Luka Graziano,D,62,3,21,24,44,33,7,0,2,2,0,ONT: Toronto,17
182,Dryden Allen,D,68,3,21,24,36,17,8,1,3,4,0,ONT: Niagara Falls,18
183,Jacob Battaglia 2,R,28,12,9,21,22,2,8,5,13,18,13,ONT: Mississauga,19
184,Ihnat Pazii 3,L,46,10,10,20,14,6,8,2,0,2,2,Ukraine: Kharkiv,18
185,Charlie Murata,R,59,5,13,18,12,7,3,0,0,0,0,ONT: Scarborough,16
186,Brady Smith 4,R,52,9,8,17,12,12,8,3,2,5,4,ONT: Whitby,17
187,Rylan Fellinger,D,65,3,13,16,44,25,8,0,2,2,0,ONT: Wawa,18
188,Chase Hull 5,F,30,8,5,13,6,5,--,--,--,--,--,ONT: Nepean,18
189,Joshua Colosimo,F,58,4,7,11,52,1,2,0,0,0,0,ONT: Vaughan,19
190,Ryland Cunningham,L,47,4,6,10,30,-3,8,2,3,5,5,ONT: Cobourg,17
191,Bryson Morgan,C,51,3,7,10,0,2,--,--,--,--,--,ONT: Zephyr,17
192,Xavier Tessier,L,37,7,1,8,6,7,8,2,1,3,2,ONT: Ottawa,17
193,Josh Bonnyman,F,46,2,6,8,13,1,2,0,0,0,0,ONT: Uxbridge,18
194,Kaden Pitre 6,C,12,5,2,7,6,3,--,--,--,--,--,ONT: Newmarket,19
195,Matthew Wang 7,L,10,3,4,7,10,0,--,--,--,--,--,ONT: London,20
196,Jeremy Martin 8,L,7,3,1,4,2,-2,--,--,--,--,--,ONT: Ajax,18
197,George Komadoski,D,50,0,3,3,34,-4,4,0,0,0,5,MO: St. Louis,17
198,Mason Vaccari,G,51,0,3,3,0,0,8,0,2,2,0,ONT: Mississauga,20
199,Christian Colosimo,D,16,1,1,2,20,1,--,--,--,--,--,ONT: Vaughan,16
200,James Paul,D,35,0,2,2,6,11,8,1,3,4,2,ONT: Mississauga,17
201,Zack Bleick,D,8,0,1,1,6,1,--,--,--,--,--,OH: Cleveland,16
202,Charlie Hotles,C,1,0,0,0,0,0,--,--,--,--,--,ONT: Markham,17
203,Lucas Nutting,D,1,0,0,0,0,0,--,--,--,--,--,ONT: London,16
204,Brayden Lappalainen,L,1,0,0,0,0,1,--,--,--,--,--,ONT: Tecumseh,16
205,Carter Beauchesne,F,1,0,0,0,0,1,--,--,--,--,--,ONT: Ottawa,16
206,Jack D'Arcy,D,3,0,0,0,2,-2,--,--,--,--,--,ONT: Cambridge,17
207,Mason Courville,G,18,0,0,0,2,0,--,--,--,--,--,PA: Palmyra,15
208,Henry Brzustewicz,D,59,19,35,54,57,-15,5,0,2,2,20,MI: Washington,18
209,Jaxon Cover,R,67,20,32,52,48,9,5,2,1,3,6,FL: Coral Springs,17
210,Braidy Wassilyn 1,L,56,17,24,41,8,3,5,0,0,0,2,ONT: Campbellville,17
211,Ryan Brown 2,L,33,16,24,40,16,7,5,3,2,5,2,ONT: Newmarket,17
212,Cohen Bidgood,R,51,14,25,39,49,17,5,0,1,1,6,ONT: Peterborough,18
213,Evan Van Gorp,L,66,12,27,39,16,-2,5,1,2,3,2,ONT: Watford,19
214,Braiden Clark,F,61,22,14,36,26,-1,3,1,0,1,2,OH: Upper Arlington,20
