#,Player Name,Pos.,GP,G,A,Pts,PIM,#ERROR!,GP,G,A,Pts,PIM,Birthplace,Age
137,Leo Henriquez,G,37,1,1,2,31,0,2,0,0,0,0,Slovakia: Bratislava,18
138,Ethan Sturgis,R,6,0,2,2,4,0,--,--,--,--,--,,17
139,Joey Slavick,G,29,0,2,2,0,0,--,--,--,--,--,MN: Westland,18
140,Rylan Bydal,F,5,0,1,1,2,0,--,--,--,--,--,ND: Grand Forks,18
141,Sutton Verot,F,1,0,0,0,0,0,--,--,--,--,--,SASK: Regina,17
142,Cole Mazzoni 5,F,1,0,0,0,0,0,--,--,--,--,--,MI: Livonia,16
143,Chase Trompeter,F,2,0,0,0,0,-1,--,--,--,--,--,MO: Fenton,17
144,Luke Pietila 5,F,2,0,0,0,0,0,--,--,--,--,--,MI: Northville,16
145,Norman Greene,F,2,0,0,0,0,0,--,--,--,--,--,NY: Clarence,16
146,Zach Wooten,L,61,35,27,62,86,8,2,2,0,2,2,MN: Apple Valley,19
147,Gavin Katz,F,60,30,27,57,34,-2,2,0,0,0,0,MN: Dellwood,18
148,Geno Carcone,F,58,13,39,52,59,-10,2,0,1,1,0,GA: Woodstock,18
149,Elliott Gulley,F,62,24,27,51,56,41,2,0,0,0,2,IL: Champaign,19
150,Andrew O'Sullivan,D,62,7,39,46,18,4,2,0,1,1,0,MA: Boston,19
151,Landon Hafele,C,52,15,27,42,69,9,2,0,0,0,2,AK: Fairbanks,17
152,David Rozsival,R,57,23,14,37,10,16,2,0,0,0,0,Czechia: Liberec,18
153,Nick Knutson,F,57,13,16,29,155,13,2,0,0,0,2,IL: Chicago,18
154,William Samuelsson,C,61,13,15,28,46,-5,2,0,0,0,0,Sweden: Sodertalje,19
155,Cruz Martin,F,55,8,15,23,37,9,2,0,0,0,0,MO: St. Louis,17
156,Gunnar Conboy,F,37,12,9,21,83,9,2,0,0,0,0,MN: Lakeville,16
157,Ethan Drabicki 1,F,46,8,7,15,28,-7,2,0,0,0,0,MI: Livonia,18
158,Owen Buesgens,D,37,3,12,15,6,11,--,--,--,--,--,MN: Excelsior,19
159,Oliver McKinney,F,37,8,6,14,25,-6,--,--,--,--,--,IL: Lake Forest,16
160,Nate Bienstock,D,56,4,10,14,18,6,2,0,0,0,0,NJ: Hillsborough,17
161,Adam Timm 2,R,37,1,12,13,77,7,--,--,--,--,--,WI: Chetek,20
162,Maceo Phillips,D,44,1,10,11,187,1,2,0,0,0,0,MN: Wayzata,18
163,Brady O'Malley,D,59,0,11,11,74,23,2,0,1,1,4,MI: Ann Arbor,20
164,Sam Harris,D,58,1,9,10,51,19,2,0,0,0,0,MN: Minneapolis,18
165,Jack Kultgen,D,52,1,7,8,35,5,2,0,0,0,2,MN: Shakopee,17
166,Nikita Fedotov,D,56,1,7,8,22,9,--,--,--,--,--,Russia: Yekaterinburg,17
167,Cody Sokol 2,F,13,3,1,4,6,-7,--,--,--,--,--,MI: Brighton,17
168,Frantisek Netusil 3,C,17,3,0,3,24,3,--,--,--,--,--,Czech Rep.: Prague,18
169,Chase Jette 4,F,4,1,2,3,2,2,2,0,1,1,0,IL: Lake Forest,18
170,Morgan Brady 4,D,14,1,2,3,20,9,2,0,0,0,0,ALTA: Woking,20
171,Leo Henriquez,G,37,1,1,2,31,0,2,0,0,0,0,Slovakia: Bratislava,18
172,Ethan Sturgis,R,6,0,2,2,4,0,--,--,--,--,--,,17
173,Joey Slavick,G,29,0,2,2,0,0,--,--,--,--,--,MN: Westland,18
174,Rylan Bydal,F,5,0,1,1,2,0,--,--,--,--,--,ND: Grand Forks,18
175,Sutton Verot,F,1,0,0,0,0,0,--,--,--,--,--,SASK: Regina,17
176,Cole Mazzoni 5,F,1,0,0,0,0,0,--,--,--,--,--,MI: Livonia,16
177,Chase Trompeter,F,2,0,0,0,0,-1,--,--,--,--,--,MO: Fenton,17
178,Luke Pietila 5,F,2,0,0,0,0,0,--,--,--,--,--,MI: Northville,16
179,Norman Greene,F,2,0,0,0,0,0,--,--,--,--,--,NY: Clarence,16
180,Graham Jones,F,61,26,26,52,23,-6,9,2,8,10,10,MAN: Winnipeg,18
181,Luke McNamara,C,62,20,30,50,63,26,9,0,1,1,4,ONT: Mississauga,20
182,Axel Lofgren,D,56,10,23,33,55,-8,6,2,2,4,8,Sweden: Lulea,20
183,Stepan Cerny,D,62,3,29,32,26,13,9,0,4,4,10,Czechia: Hradec Kralove,18
184,Cullen McCrate,D,61,10,20,30,49,19,9,1,3,4,2,MI: Adrian,18
185,Saxton Tess,F,57,13,12,25,20,15,9,3,1,4,8,TX: Dallas,20
186,Mason West,C,38,10,15,25,12,5,9,2,4,6,6,MN: Edina,18
187,Kolin Sisson 1,F,21,7,17,24,6,8,9,3,4,7,10,RI: Lincoln,18
188,Garrett Lindberg,D,57,6,18,24,29,20,8,1,4,5,19,MN: Moorhead,18
