#,Player Name,Pos.,GP,G,A,Pts,PIM,#ERROR!,GP,G,A,Pts,PIM,Birthplace,Age
591,Austin Ross,F,1,0,0,0,0,0,--,--,--,--,--,MI: Bloomfield,
592,Jack Dunne,F,1,0,0,0,0,0,--,--,--,--,--,NJ: Marlboro,16
593,Aiden Mowrey 3,D,1,0,0,0,4,-2,--,--,--,--,--,PA: Wexford,16
594,Jackson Ciuffetelli,D,1,0,0,0,0,-2,--,--,--,--,--,MI: Dearborn,17
595,Cade Zoerink,D,1,0,0,0,0,0,--,--,--,--,--,SD: Sioux Falls,16
596,Carter Gardocki,G,2,0,0,0,0,0,--,--,--,--,--,MI: Dearborn,16
597,Cole Sabourin,F,2,0,0,0,2,-5,--,--,--,--,--,RI: Cumberland,17
598,Dennis Emesibe 4,F,2,0,0,0,0,-1,--,--,--,--,--,ALTA: Calgary,17
599,Charlie Mineman 5,D,2,0,0,0,0,-1,--,--,--,--,--,MO: St. Louis,16
600,Sig Ebersold,D,2,0,0,0,0,-2,--,--,--,--,--,MI: Grosse Pointe Park,16
601,Gunnar Gullstrand,F,2,0,0,0,0,0,--,--,--,--,--,MI: Houghton,15
602,Vincent Arnone,F,2,0,0,0,0,-2,--,--,--,--,--,NV: Las Vegas,16
603,Mitchell Mars 6,F,2,0,0,0,0,0,--,--,--,--,--,MI: Kalamazoo,16
604,Teddy Lechner 7,D,3,0,0,0,0,-3,--,--,--,--,--,MN: Bloomington,17
605,Luke Pietila 1,F,3,0,0,0,2,-1,--,--,--,--,--,MI: Northville,16
606,Andrew Mohesky,F,4,0,0,0,2,-4,--,--,--,--,--,MO: St. Louis,17
607,Joseph Covelluzzi 8,R,5,0,0,0,0,-3,--,--,--,--,--,MA: Wakefield,16
608,Cayden Jackman 9,F,5,0,0,0,2,-2,--,--,--,--,--,MO: St. Louis,15
609,Brody George,F,10,0,0,0,4,-4,--,--,--,--,--,PA: Johnstown,17
610,Brady Knowling,G,15,0,0,0,0,0,--,--,--,--,--,IL: Chicago,17
611,Eli Winters,G,18,0,0,0,2,0,--,--,--,--,--,MI: Muskegon,16
612,Nate Chizik,G,23,0,0,0,0,0,--,--,--,--,--,PA: Warrington,16
613,Ty Mason,L,57,24,20,44,71,-13,--,--,--,--,--,SASK: Weyburn,20
614,Salvatore Viviano,F,61,16,24,40,10,-23,--,--,--,--,--,MI: Wyandotte,17
615,Cullen Emery,F,48,13,18,31,2,-26,--,--,--,--,--,MA: Reading,20
616,Atte Vikla,F,61,6,21,27,76,-41,--,--,--,--,--,Finland: Helsinki,19
617,Rio Treharne,F,49,6,20,26,39,-4,--,--,--,--,--,MN: Minneapolis,18
618,Toby Carlson,F,59,9,16,25,44,-31,--,--,--,--,--,AK: Anchorage,19
619,Dylan Nolan,F,36,11,9,20,14,-1,--,--,--,--,--,CA: San Jose,18
620,Ryan Whiterabbit 1,D,39,4,15,19,18,-9,--,--,--,--,--,MN: Mahtomedi,19
621,"Adyn MerrickTo Chicago""> 2",C,28,7,11,18,33,-16,--,--,--,--,--,MI: Saline,19
622,Drew Waterfield,R,53,7,11,18,12,-10,--,--,--,--,--,IL: Aurora,19
623,Tyler Deakos,F,19,7,10,17,19,-7,--,--,--,--,--,ALTA: Canmore,18
624,Chase Jette 3,F,12,7,9,16,4,-3,--,--,--,--,--,IL: Lake Forest,18
625,Travis Lefere,F,56,8,7,15,37,-27,--,--,--,--,--,MI: Grand Rapids,18
626,Jackson Schneider,D,52,4,11,15,86,0,--,--,--,--,--,ALTA: Calgary,18
627,Hayden Russell 4,R,29,5,6,11,21,-14,--,--,--,--,--,CA: Huntington Beach,18
628,Jimmy Rieber,D,60,2,9,11,28,-20,--,--,--,--,--,MN: Woodbury,17
629,Caleb Deanovich,D,39,3,7,10,20,-18,--,--,--,--,--,WI: Fond du Lac,16
630,Avery Laliberte,D,62,3,7,10,41,-22,--,--,--,--,--,MAN: Lorette,18
631,Owen Degraff,F,51,7,2,9,35,-17,--,--,--,--,--,FL: Odessa,17
632,Jakeb Lynch 5,F,33,2,7,9,34,-13,--,--,--,--,--,NE: Papillion,18
633,Trevor O'Donohue 6,F,40,1,6,7,34,-19,--,--,--,--,--,MI: Pinckney,17
634,Viktor Eriksson,L,7,5,0,5,0,-7,--,--,--,--,--,Sweden: Gavle,20
635,"James ""Garrett"" Russell 4",D,29,2,3,5,8,-7,--,--,--,--,--,CA: Huntington Beach,18
636,Kade Meyer,D,22,1,4,5,24,-3,--,--,--,--,--,WI: Minocqua,16
637,Morgan Brady 3,D,31,1,4,5,66,-8,--,--,--,--,--,ALTA: Woking,20
638,Nash Roed,F,11,1,3,4,2,-12,--,--,--,--,--,MN: White Bear Lake,15
639,Brock Schultz 7,F,12,1,3,4,24,-11,--,--,--,--,--,MN: East Grand Forks,20
640,Cody Sokol 8,F,16,1,3,4,4,-8,--,--,--,--,--,MI: Brighton,17
641,Wyatt Herres 9,D,16,1,1,2,42,-5,--,--,--,--,--,WI: Appleton,18
642,Cazimiro Carlson 10,F,11,0,2,2,0,1,--,--,--,--,--,MN: Virginia,17
643,Adam Timm 8,R,20,0,2,2,55,-4,--,--,--,--,--,WI: Chetek,20
644,Miles Jinman,F,2,0,1,1,0,-2,--,--,--,--,--,Switzerland: Sion,15
645,Jakov Matijevic,F,10,0,1,1,0,-1,--,--,--,--,--,Croatia: Zagreb,17
646,Dane Callaway,G,24,0,1,1,23,0,--,--,--,--,--,MN: Duluth,20
647,Eli Zucker,G,1,0,0,0,0,0,--,--,--,--,--,NY: New York,16
648,Austin Brekelmans,F,3,0,0,0,0,-1,--,--,--,--,--,ONT: Strathroy,17
649,J.J. Salajko,G,3,0,0,0,0,0,--,--,--,--,--,OH: Columbus,19
650,Rian Marquardt,D,3,0,0,0,0,0,--,--,--,--,--,MN: Hugo,16
651,Liam Schultz,F,3,0,0,0,0,0,--,--,--,--,--,MN: Victoria,16
652,Sam Peckham,D,4,0,0,0,2,-4,--,--,--,--,--,MN: Edina,17
653,Cayden Jackman 11,F,4,0,0,0,0,0,--,--,--,--,--,MO: St. Louis,15
654,Anthony Pellitteri,D,4,0,0,0,4,3,--,--,--,--,--,MA: Holbrook,18
655,Owen Crudale 4,G,5,0,0,0,0,0,--,--,--,--,--,CA: San Diego,20
656,Camden Langfeld,F,8,0,0,0,2,-5,--,--,--,--,--,,16
657,Keegan Davis,F,12,0,0,0,21,-7,--,--,--,--,--,,17
658,Michael Chambre 12,G,17,0,0,0,4,0,--,--,--,--,--,FL: Fort Myers,20
659,Phileas Lachat,G,19,0,0,0,0,0,--,--,--,--,--,Switzerland: Delemont,19
